name,left_tr,right_tr
ID100_2.csv,93.25601374570446,93.33118556701031
ID100_3.csv,95.06012732846027,94.85970290025936
ID102_2.csv,93.93335747917422,94.00579500181094
ID102_3.csv,92.90412345054389,92.98001517834557
ID103_2.csv,94.97523000707714,94.96815286624204
ID103_3.csv,95.65373241329868,95.71646204857066
ID104_2.csv,86.12796469939326,86.21070049641479
ID104_3.csv,76.15109140518418,76.33015006821282
ID105_2.csv,93.68793713841637,94.52551593126674
ID105_3.csv,95.03936158740429,95.81580933894102
ID106_2.csv,89.79767541971589,89.9375807145932
ID106_3.csv,88.11649787259543,88.28429316234194
ID107_2.csv,98.6647676695745,98.78938935374755
ID107_3.csv,98.30657964367613,98.41241841594638
ID108_2.csv,88.56948460622554,88.75092135850768
ID108_3.csv,89.36809355219397,89.94743053320458
ID109_2.csv,95.44978165938865,96.1048034934498
ID109_3.csv,95.13076759515204,95.2902402721667
ID110_2.csv,97.09373470386686,97.06926089084679
ID110_3.csv,94.70645435760301,94.42080952959768
ID111_2.csv,95.25147513346445,95.51840404608036
ID111_3.csv,96.21486570893192,94.46595877576515
ID112_2.csv,85.4968287526427,85.42635658914729
ID112_3.csv,88.70179250407388,89.04128191200435
ID158_2.csv,92.17278337122443,91.32835336148099
ID158_3.csv,93.99441340782123,92.95327577450483
ID159_2.csv,94.35556124408038,94.82913093562011
ID159_3.csv,94.4191814799504,94.76367645032383
ID160_2.csv,94.9911190053286,94.92599171107165
ID160_3.csv,96.03124606274412,96.11314098525892
ID161_2.csv,92.1923676012461,86.70171339563862
ID161_3.csv,92.09183673469387,80.63186813186813
ID162_2.csv,4.428044280442804,4.428044280442804
ID162_3.csv,0.0,0.0
ID165_2.csv,0.0,0.0
ID165_3.csv,76.85495452369555,69.96170416467208
ID166_2.csv,99.30239611768275,99.34789202305126
ID166_3.csv,99.19320594479831,99.26397735314933
ID167_2.csv,90.10904425914048,90.48107761385504
ID167_3.csv,87.90063071180332,88.06796241472519
ID168_2.csv,92.48339543171878,92.59679248339543
ID168_3.csv,93.38141025641026,93.23717948717949
ID169_2.csv,95.4562629888532,95.55072737577933
ID169_3.csv,94.86854608805828,94.99524865378524
ID170_2.csv,82.02538202538202,83.10670810670811
ID170_3.csv,77.80853943644641,78.8298265042451
ID171_2.csv,96.9674138255792,97.77735920135619
ID171_3.csv,98.12687495426941,98.97563474061609
ID172_2.csv,96.39954853273137,96.6704288939052
ID172_3.csv,96.15829371707568,96.44096106899653
ID174_2.csv,94.04374127501164,94.0902745463006
ID174_3.csv,91.79902755267423,92.01512695840086
ID175_2.csv,88.56472166331322,88.38028169014085
ID175_3.csv,88.93215515950277,88.258199790325
ID177_2.csv,86.64511958629606,86.74854557207499
ID177_3.csv,89.23966742981082,89.43246174237859
ID178_2.csv,97.62495568947182,98.02375044310529
ID178_3.csv,98.81783560774358,99.15899714376388
ID180_2.csv,91.47587634199974,91.74751002457639
ID180_3.csv,93.01773810868829,93.32278838549315
ID181_2.csv,61.79582944288826,62.01369436663554
ID181_3.csv,91.11175448755067,91.9224088013897
ID183_2.csv,92.83392034678948,92.77973448929829
ID183_3.csv,94.37945408094663,94.25843754201964
ID184_2.csv,92.6916221033868,91.95314489432137
ID184_3.csv,91.23478852863586,90.00936090545486
ID185_2.csv,89.0480132450331,90.20695364238411
ID185_3.csv,77.59848653460939,60.06009347874471
ID186_2.csv,92.97182963176618,93.08720315354293
ID186_3.csv,87.84804662205914,87.75091733218218
ID188_2.csv,95.17177344475395,93.98535025275973
ID188_3.csv,91.5063401836467,90.88325317009182
ID189_2.csv,84.7507911392405,84.55300632911393
ID189_3.csv,87.41661613098847,88.4020618556701
ID190_2.csv,95.0909422714277,95.09702536650649
ID190_3.csv,94.83660626279476,95.00341193418758
ID191_2.csv,94.40977293852079,94.33010224405788
ID191_3.csv,94.6518668012109,94.64065478192623
ID192_2.csv,95.13682689992777,95.24115239547388
ID192_3.csv,94.27033655811418,93.98419403188444
ID193_2.csv,94.48369796543798,94.65395420107261
ID193_3.csv,93.81063096287981,94.01908121542532
ID194_2.csv,75.6846030900373,89.68566862013851
ID194_3.csv,90.83914649158802,90.94173163725893
ID195_2.csv,0.0,0.0
ID195_3.csv,83.52093651508329,84.39141527840313
ID196_2.csv,97.85149907998701,97.7432622578201
ID196_3.csv,97.53346470068628,97.37718284976557
ID197_2.csv,99.09609895337773,99.54329210275927
ID197_3.csv,98.52668340063298,98.63581796354906
ID198_2.csv,89.58126448195962,87.85170473353195
ID198_3.csv,0.0,0.0
ID199_2.csv,92.27318045862413,92.1136590229312
ID199_3.csv,91.91396678464471,91.70523640983755
ID201_2.csv,89.2001545595054,89.92465224111282
ID201_3.csv,87.38881829733164,88.29944938585345
ID202_2.csv,85.64205613534712,86.19303817981461
ID202_3.csv,88.42548862893264,88.64346436096781
ID203_2.csv,0.0,0.0
ID203_3.csv,87.2055327425978,87.33520639723363
ID204_2.csv,91.5133374416762,91.17880095078792
ID204_3.csv,89.73937137414495,90.40609576586718
ID205_2.csv,0.0,0.0
ID205_3.csv,97.97854143990048,98.19623697714196
ID206_2.csv,97.0639982405982,97.03100945678469
ID206_3.csv,96.04795737122558,96.02575488454707
ID207_2.csv,87.71225428690924,87.76244249268089
ID207_3.csv,89.50026785030994,89.95178694421061
ID208_2.csv,84.79913137893594,86.18558423118684
ID208_3.csv,81.30407911001237,82.8646477132262
ID209_2.csv,96.40300644237652,96.56406585540444
ID209_3.csv,95.9271523178808,96.03476821192054
ID210_2.csv,93.161056703152,92.9635420953008
ID210_3.csv,93.97957355312668,93.96165561727288
ID211_2.csv,0.0,0.0
ID211_3.csv,66.99236641221374,66.97709923664122
ID212_2.csv,85.68347909428537,85.1922846531688
ID212_3.csv,86.95061728395062,85.18518518518519
ID213_2.csv,96.03225967043362,96.05217304724448
ID213_3.csv,95.43376821255119,95.55756594610038
ID214_2.csv,93.33333333333333,93.63636363636364
ID214_3.csv,96.5477000875231,96.71302149178256
ID215_2.csv,93.50812693498453,93.77902476780186
ID215_3.csv,92.90476664344712,93.30281620061697
ID216_2.csv,97.63595779220779,97.40259740259741
ID216_3.csv,96.30363690417202,96.99732434842929
ID217_2.csv,93.45116469145893,93.58398038414386
ID217_3.csv,90.96084698361966,91.35037954454654
ID218_2.csv,87.21134273882221,86.64280199340212
ID218_3.csv,84.67608301112601,83.89489465793419
ID219_2.csv,0.0,0.0
ID219_3.csv,95.2334524970209,94.50763730906728
